City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.12,94,60,0.89,NZ,1724263901
1,kununurra,-15.7667,128.7333,18.99,88,6,0.0,AU,1724263901
2,petropavlovsk-kamchatsky,53.0452,158.6483,8.33,76,0,1.0,RU,1724263901
3,kachug,53.9606,105.8817,12.27,78,2,1.13,RU,1724263901
4,kasongo-lunda,-6.4667,16.8167,28.09,19,42,1.31,CD,1724263901
5,albany,42.6001,-73.9662,20.81,57,26,2.24,US,1724263693
6,nar'yan-mar,67.6713,53.087,6.86,94,57,2.91,RU,1724263901
7,badger,64.8,-147.5333,8.93,83,100,3.09,US,1724263901
8,saipan,15.1355,145.701,28.39,83,20,3.6,MP,1724263775
9,edinburgh of the seven seas,-37.0676,-12.3116,11.2,74,35,15.14,SH,1724263901
10,broome,42.2506,-75.833,16.06,81,75,5.14,US,1724263902
11,grytviken,-54.2811,-36.5092,-5.57,69,26,11.22,GS,1724263902
12,port elizabeth,-33.918,25.5701,13.51,80,0,14.4,ZA,1724263902
13,margaret river,-33.95,115.0667,10.78,82,100,4.06,AU,1724263902
14,mata-utu,-13.2816,-176.1745,26.32,79,13,9.89,WF,1724263902
15,rakhiv,48.0526,24.2009,19.45,48,3,2.33,UA,1724263902
16,penzance,50.1186,-5.5371,16.38,80,61,9.38,GB,1724263902
17,benguela,-12.5763,13.4055,21.21,82,63,1.96,AO,1724263763
18,bethel,41.3712,-73.414,22.25,60,75,4.63,US,1724263902
19,wailua homesteads,22.0669,-159.378,26.44,82,40,7.2,US,1724263902
20,mahajanga,-15.7167,46.3167,25.01,47,20,4.63,MG,1724263903
21,al bawiti,28.3492,28.8659,34.88,21,0,5.73,EG,1724263903
22,ushuaia,-54.8,-68.3,5.12,75,17,1.19,AR,1724263903
23,thompson,55.7435,-97.8558,24.09,78,75,2.57,CA,1724263903
24,el calafate,-50.3408,-72.2768,3.26,67,36,1.0,AR,1724263903
25,hadibu,12.65,54.0333,25.97,78,70,8.51,YE,1724263903
26,galliano,29.4422,-90.2992,33.0,43,0,2.57,US,1724263903
27,mount isa,-20.7333,139.5,11.87,58,0,0.51,AU,1724263903
28,tarija,-21.5355,-64.7296,32.31,5,0,11.32,BO,1724263669
29,fort bragg,35.139,-79.006,26.49,48,0,2.57,US,1724263903
30,invercargill,-46.4,168.35,3.34,91,43,0.45,NZ,1724263903
31,la'ie,21.6477,-157.9253,28.98,77,25,2.68,US,1724263904
32,ribeira grande,38.5167,-28.7,27.22,65,20,2.24,PT,1724263904
33,hryhoriopol,47.1536,29.2964,27.77,22,100,1.04,MD,1724263904
34,west island,-12.1568,96.8225,26.99,83,20,4.12,CC,1724263904
35,butha-buthe,-28.8333,28.5,7.82,26,0,1.59,LS,1724263904
36,bilibino,68.0546,166.4372,5.49,96,100,1.54,RU,1724263904
37,gizo,-8.103,156.8419,27.16,80,100,4.23,SB,1724263904
38,namp'o,38.7375,125.4078,25.19,96,100,2.51,KP,1724263754
39,tete,-16.1564,33.5867,28.05,32,20,3.09,MZ,1724263904
40,taroudant,30.4703,-8.877,36.18,19,0,10.11,MA,1724263905
41,dudinka,69.4058,86.1778,13.64,62,92,2.39,RU,1724263905
42,gisenyi,-1.7028,29.2564,19.43,65,100,0.69,RW,1724263905
43,nur-sultan,51.1801,71.446,14.97,77,0,2.0,KZ,1724263905
44,arraial do cabo,-22.9661,-42.0278,24.92,73,0,5.14,BR,1724263765
45,yellowknife,62.456,-114.3525,11.34,86,99,8.49,CA,1724263875
46,iqaluit,63.7506,-68.5145,19.85,55,75,8.05,CA,1724263906
47,port lincoln,-34.7333,135.8667,11.58,89,37,4.01,AU,1724263906
48,college,64.8569,-147.8028,8.97,84,100,3.09,US,1724263906
49,vernon,50.2581,-119.2691,22.18,41,32,0.45,CA,1724263773
50,ginir,7.1333,40.7,12.5,83,65,4.63,ET,1724263906
51,fortuna,40.5982,-124.1573,22.18,70,40,5.14,US,1724263906
52,balykshi,47.0667,51.8667,24.0,69,0,4.0,KZ,1724263906
